scenario_id,timestamp,user_id,role,records_accessed,failed_logins,action_type,account_sensitivity,ip_address,saved_ip
SCN01,2026-09-01 10:00:00,USR001,Branch Manager,10,0,View,Normal,192.168.1.10,192.168.1.10
SCN02,2026-09-01 20:00:00,USR002,Branch Manager,10,0,View,Normal,192.168.1.10,192.168.1.10
SCN03,2026-09-01 10:00:00,USR003,Branch Manager,10,4,View,Normal,192.168.1.10,192.168.1.10
SCN04,2026-09-01 10:00:00,USR004,Branch Manager,150,0,Download,Normal,192.168.1.10,192.168.1.10
SCN05,2026-09-01 10:00:00,USR005,Branch Manager,10,0,View,Sensitive/VIP,192.168.1.10,192.168.1.10
SCN06,2026-09-01 10:00:00,USR006,Branch Manager,10,0,View,Normal,203.0.113.50,192.168.1.10
SCN07,2026-09-01 20:00:00,USR007,Branch Manager,10,4,View,Normal,192.168.1.10,192.168.1.10
SCN08,2026-09-01 20:00:00,USR008,Branch Manager,150,0,Download,Normal,192.168.1.10,192.168.1.10
SCN09,2026-09-01 20:00:00,USR009,Branch Manager,10,0,View,Sensitive/VIP,192.168.1.10,192.168.1.10
SCN10,2026-09-01 20:00:00,USR010,Branch Manager,10,0,View,Normal,203.0.113.50,192.168.1.10
SCN11,2026-09-01 10:00:00,USR011,Branch Manager,150,4,Download,Normal,192.168.1.10,192.168.1.10
SCN12,2026-09-01 10:00:00,USR012,Branch Manager,10,4,View,Sensitive/VIP,192.168.1.10,192.168.1.10
SCN13,2026-09-01 10:00:00,USR013,Branch Manager,10,4,View,Normal,203.0.113.50,192.168.1.10
SCN14,2026-09-01 10:00:00,USR014,Branch Manager,150,0,Download,Sensitive/VIP,192.168.1.10,192.168.1.10
SCN15,2026-09-01 10:00:00,USR015,Branch Manager,150,0,Download,Normal,203.0.113.50,192.168.1.10
SCN16,2026-09-01 10:00:00,USR016,Branch Manager,10,0,View,Sensitive/VIP,203.0.113.50,192.168.1.10
SCN17,2026-09-01 20:00:00,USR017,Branch Manager,150,4,Download,Normal,192.168.1.10,192.168.1.10
SCN18,2026-09-01 20:00:00,USR018,Branch Manager,10,4,View,Sensitive/VIP,192.168.1.10,192.168.1.10
SCN19,2026-09-01 20:00:00,USR019,Branch Manager,10,4,View,Normal,203.0.113.50,192.168.1.10
SCN20,2026-09-01 20:00:00,USR020,Branch Manager,150,0,Download,Sensitive/VIP,192.168.1.10,192.168.1.10
SCN21,2026-09-01 20:00:00,USR021,Branch Manager,150,0,Download,Normal,203.0.113.50,192.168.1.10
SCN22,2026-09-01 20:00:00,USR022,Branch Manager,10,0,View,Sensitive/VIP,203.0.113.50,192.168.1.10
SCN23,2026-09-01 10:00:00,USR023,Branch Manager,150,4,Download,Sensitive/VIP,192.168.1.10,192.168.1.10
SCN24,2026-09-01 10:00:00,USR024,Branch Manager,150,4,Download,Normal,203.0.113.50,192.168.1.10
SCN25,2026-09-01 10:00:00,USR025,Branch Manager,10,4,View,Sensitive/VIP,203.0.113.50,192.168.1.10
SCN26,2026-09-01 10:00:00,USR026,Branch Manager,150,0,Download,Sensitive/VIP,203.0.113.50,192.168.1.10
SCN27,2026-09-01 20:00:00,USR027,Branch Manager,150,4,Download,Sensitive/VIP,192.168.1.10,192.168.1.10
SCN28,2026-09-01 20:00:00,USR028,Branch Manager,150,4,Download,Normal,203.0.113.50,192.168.1.10
SCN29,2026-09-01 20:00:00,USR029,Branch Manager,10,4,View,Sensitive/VIP,203.0.113.50,192.168.1.10
SCN30,2026-09-01 20:00:00,USR030,Branch Manager,150,0,Download,Sensitive/VIP,203.0.113.50,192.168.1.10
SCN31,2026-09-01 10:00:00,USR031,Branch Manager,150,4,Download,Sensitive/VIP,203.0.113.50,192.168.1.10
SCN32,2026-09-01 20:00:00,USR032,Branch Manager,150,4,Download,Sensitive/VIP,203.0.113.50,192.168.1.10
